cluster	label	id
purple-1	tc0720-CO	tc0720
purple-1	tc0117-CO	tc0117
purple-1	tc0262-CO	tc0262
purple-1	tc0863-CO	tc0863
purple-1	tc0451-CO	tc0451
purple-1	tc0040-CO	tc0040
purple-1	tc0728-CO	tc0728
purple-1	tc0041-CO	tc0041
purple-1	tc0724-CO	tc0724
purple-1	tc0723-CO	tc0723
purple-1	tc0363-CO	tc0363
purple-1	tc0732-CO	tc0732
purple-1	tc0731-CO	tc0731
purple-1	tc0612-CO	tc0612
purple-1	tc0598-CO	tc0598
purple-1	tc0613-CO	tc0613
purple-1	tc0628-CO	tc0628
purple-1	tc0224-CO	tc0224
purple-1	tc0596-CO	tc0596
purple-1	tc0611-CO	tc0611
purple-1	tc0605-CO	tc0605
purple-1	tc0625-TC	tc0625
purple-1	tc0322-TC	tc0322
purple-1	tc0228-CO	tc0228
purple-1	tc0595-CO	tc0595
purple-1	tc0607-CO	tc0607
purple-1	tc0606-CO	tc0606
purple-1	tc0751-TC	tc0751
purple-1	tc0621-CO	tc0621
purple-1	tc0610-CO	tc0610
purple-1	tc0438-CO	tc0438
purple-1	tc0437-CO	tc0437
purple-1	tc0098-CO	tc0098
purple-1	tc0608-CO	tc0608
purple-1	tc0602-CO	tc0602
purple-1	tc0543-TC	tc0543
purple-1	tc0116-CO	tc0116
purple-1	tc0789-CO	tc0789
purple-1	tc0306-CO	tc0306
purple-1	tc0252-CO	tc0252
purple-1	tc0805-CO	tc0805
purple-1	tc0225-CO	tc0225
purple-1	tc0221-CO	tc0221
purple-1	tc0218-CO	tc0218
purple-1	tc0201-CO	tc0201
purple-1	tc0189-CO	tc0189
purple-1	tc0209-CO	tc0209
purple-1	tc0650-CO	tc0650
purple-1	tc0648-CO	tc0648
purple-1	tc0223-CO	tc0223
purple-1	tc0222-CO	tc0222
purple-1	tc0649-CO	tc0649
purple-1	tc0788-TC	tc0788
purple-1	tc0307-CO	tc0307
purple-1	tc0790-CO	tc0790
purple-1	tc0220-CO	tc0220
purple-1	tc0787-TC	tc0787
purple-1	tc0792-CO	tc0792
purple-1	tc0786-CO	tc0786
purple-1	tc0791-CO	tc0791
purple-1	tc0167-CO	tc0167
purple-1	tc0091-CO	tc0091
purple-1	tc0836-TC	tc0836
purple-1	tc0496-CO	tc0496
purple-1	tc0829-CO	tc0829
purple-1	tc0447-TC	tc0447
purple-1	tc0518-CO	tc0518
purple-1	tc0665-CO	tc0665
purple-1	tc0260-CO	tc0260
purple-1	tc0208-CO	tc0208
purple-1	tc0182-CO	tc0182
purple-1	tc0195-CO	tc0195
purple-1	tc0202-CO	tc0202
purple-1	tc0188-CO	tc0188
cyan-1	tc0118-CO	tc0118
cyan-1	tc0068-CO	tc0068
cyan-1	tc0859-CO	tc0859
cyan-1	tc0646-CO	tc0646
cyan-1	tc0643-CO	tc0643
cyan-1	tc0647-CO	tc0647
cyan-1	tc0335-CO	tc0335
cyan-1	tc0080-CO	tc0080
cyan-1	tc0849-CO	tc0849
cyan-1	tc0644-CO	tc0644
cyan-1	tc0158-CO	tc0158
cyan-1	tc0844-CO	tc0844
cyan-1	tc0642-CO	tc0642
cyan-1	tc0848-CO	tc0848
cyan-1	tc0666-CO	tc0666
cyan-1	tc0730-CO	tc0730
cyan-1	tc0846-CO	tc0846
cyan-1	tc0700-CO	tc0700
cyan-1	tc0064-CO	tc0064
cyan-1	tc0059-CO	tc0059
cyan-1	tc0738-CO	tc0738
cyan-1	tc0735-CO	tc0735
cyan-1	tc0851-CO	tc0851
cyan-1	tc0729-CO	tc0729
cyan-1	tc0266-CO	tc0266
cyan-1	tc0664-CO	tc0664
cyan-1	tc0658-CO	tc0658
cyan-1	tc0669-CO	tc0669
cyan-1	tc0256-CO	tc0256
cyan-1	tc0086-CO	tc0086
cyan-1	tc0076-CO	tc0076
cyan-1	tc0255-CO	tc0255
cyan-1	tc0328-CO	tc0328
cyan-1	tc0327-TC	tc0327
cyan-1	tc0366-CO	tc0366
cyan-1	tc0007-CO	tc0007
cyan-1	tc0736-CO	tc0736
cyan-1	tc0367-CO	tc0367
cyan-1	tc0362-CO	tc0362
cyan-1	tc0372-CO	tc0372
cyan-1	tc0356-CO	tc0356
cyan-1	tc0369-CO	tc0369
cyan-1	tc0364-CO	tc0364
red-1	tc0304-CO	tc0304
red-1	tc0287-CO	tc0287
red-1	tc0290-CO	tc0290
red-1	tc0282-CO	tc0282
red-1	tc0265-CO	tc0265
red-1	tc0299-CO	tc0299
red-1	tc0281-CO	tc0281
red-1	tc0365-CO	tc0365
red-1	tc0329-CO	tc0329
red-1	tc0295-CO	tc0295
red-1	tc0278-CO	tc0278
red-1	tc0270-CO	tc0270
red-1	tc0280-CO	tc0280
green-1	tc0793-CO	tc0793
green-1	tc0113-TR	tc0113
green-1	tc0542-TR	tc0542
green-1	tc0540-TC	tc0540
green-1	tc0184-TR	tc0184
green-1	tc0176-TR	tc0176
green-1	tc0551-TC	tc0551
green-1	tc0434-TC	tc0434
green-1	tc0319-TR	tc0319
green-1	tc0722-TR	tc0722
green-1	tc0544-TR	tc0544
green-1	tc0054-TR	tc0054
green-1	tc0053-TR	tc0053
green-1	tc0112-TR	tc0112
green-1	tc0105-TR	tc0105
green-1	tc0323-TC	tc0323
green-1	tc0110-TR	tc0110
green-1	tc0690-TR	tc0690
green-1	tc0204-TR	tc0204
green-1	tc0196-TR	tc0196
green-1	tc0179-TR	tc0179
green-1	tc0186-TR	tc0186
green-1	tc0180-TR	tc0180
green-1	tc0185-CO	tc0185
green-1	tc0448-TC	tc0448
green-1	tc0074-TC	tc0074
green-1	tc0697-TC	tc0697
green-1	tc0797-TC	tc0797
green-1	tc0794-TC	tc0794
green-1	tc0795-TR	tc0795
green-1	tc0114-TR	tc0114
green-1	tc0106-TR	tc0106
green-1	tc0111-TR	tc0111
green-1	tc0684-TR	tc0684
green-1	tc0096-TR	tc0096
green-1	tc0762-TC	tc0762
green-1	tc0757-TR	tc0757
green-1	tc0541-TR	tc0541
green-1	tc0538-TR	tc0538
