tc0001§0000.txt	tc0001§0001.txt
tc0001§0001.txt	tc0001§0002.txt
tc0001§0002.txt	tc0001§0003.txt
tc0001§0003.txt	tc0001§0004.txt
tc0001§0004.txt	tc0001§0005.txt
tc0001§0005.txt	tc0001§0006.txt
tc0001§0006.txt	tc0001§0007.txt
tc0001§0007.txt	tc0001§0008.txt
tc0001§0008.txt	tc0001§0009.txt
tc0001§0009.txt	tc0001§0010.txt
tc0001§0010.txt	tc0001§0011.txt
tc0001§0011.txt	tc0001§0012.txt
tc0007§0000.txt	tc0007§0001.txt
tc0007§0001.txt	tc0007§0002.txt
tc0007§0002.txt	tc0007§0003.txt
tc0007§0003.txt	tc0007§0004.txt
tc0007§0004.txt	tc0007§0005.txt
tc0007§0005.txt	tc0007§0006.txt
tc0007§0006.txt	tc0007§0007.txt
tc0007§0007.txt	tc0007§0008.txt
tc0007§0008.txt	tc0007§0009.txt
tc0007§0009.txt	tc0007§0010.txt
tc0007§0010.txt	tc0007§0011.txt
tc0007§0011.txt	tc0007§0012.txt
tc0007§0012.txt	tc0007§0013.txt
tc0034§0000.txt	tc0034§0001.txt
tc0034§0001.txt	tc0034§0002.txt
tc0034§0002.txt	tc0034§0003.txt
tc0034§0003.txt	tc0034§0004.txt
tc0034§0004.txt	tc0034§0005.txt
tc0034§0005.txt	tc0034§0006.txt
tc0034§0006.txt	tc0034§0007.txt
tc0034§0007.txt	tc0034§0008.txt
tc0034§0008.txt	tc0034§0009.txt
tc0034§0009.txt	tc0034§0010.txt
tc0034§0010.txt	tc0034§0011.txt
tc0034§0011.txt	tc0034§0012.txt
tc0034§0012.txt	tc0034§0013.txt
tc0034§0013.txt	tc0034§0014.txt
tc0034§0014.txt	tc0034§0015.txt
tc0034§0015.txt	tc0034§0016.txt
tc0034§0016.txt	tc0034§0017.txt
tc0036§0000.txt	tc0036§0001.txt
tc0036§0001.txt	tc0036§0002.txt
tc0036§0002.txt	tc0036§0003.txt
tc0036§0003.txt	tc0036§0004.txt
tc0036§0004.txt	tc0036§0005.txt
tc0036§0005.txt	tc0036§0006.txt
tc0036§0006.txt	tc0036§0007.txt
tc0036§0007.txt	tc0036§0008.txt
tc0036§0008.txt	tc0036§0009.txt
tc0036§0009.txt	tc0036§0010.txt
tc0036§0010.txt	tc0036§0011.txt
tc0036§0011.txt	tc0036§0012.txt
tc0036§0012.txt	tc0036§0013.txt
tc0036§0013.txt	tc0036§0014.txt
tc0036§0014.txt	tc0036§0015.txt
tc0036§0015.txt	tc0036§0016.txt
tc0036§0016.txt	tc0036§0017.txt
tc0036§0017.txt	tc0036§0018.txt
tc0036§0018.txt	tc0036§0019.txt
tc0036§0019.txt	tc0036§0020.txt
tc0037§0000.txt	tc0037§0001.txt
tc0037§0001.txt	tc0037§0002.txt
tc0037§0002.txt	tc0037§0003.txt
tc0037§0003.txt	tc0037§0004.txt
tc0037§0004.txt	tc0037§0005.txt
tc0037§0005.txt	tc0037§0006.txt
tc0037§0006.txt	tc0037§0007.txt
tc0037§0007.txt	tc0037§0008.txt
tc0037§0008.txt	tc0037§0009.txt
tc0037§0009.txt	tc0037§0010.txt
tc0040§0000.txt	tc0040§0001.txt
tc0040§0001.txt	tc0040§0002.txt
tc0040§0002.txt	tc0040§0003.txt
tc0040§0003.txt	tc0040§0004.txt
tc0040§0004.txt	tc0040§0005.txt
tc0040§0005.txt	tc0040§0006.txt
