model_name	psq_distance	psq_distance_metric	psq_distance_sample_size	highdim_size	lowdim_size
models/preproc/bow_id-v01.tsv.gz	0.8466725491618954	cityblock	1.0	237	237
models/preproc/bow_id-v02.tsv.gz	0.8845850416157293	cityblock	1.0	12705	12705
models/preproc/bow_id-v03.tsv.gz	0.892237003134542	cityblock	1.0	12663	12663
models/preproc/bow_umap-v01.tsv.gz	0.3027742355505734	cityblock	1.0	237	5
models/preproc/bow_umap-v02.tsv.gz	0.2951674820883746	cityblock	1.0	12705	5
models/preproc/bow_umap-v03.tsv.gz	0.168127014134347	cityblock	1.0	12663	5
models/preproc/doc2vec_id-v01.tsv.gz	0.8671051873085242	cityblock	1.0	300	300
models/preproc/doc2vec_id-v02.tsv.gz	0.8099172831644129	cityblock	1.0	100	100
models/preproc/doc2vec_id-v03.tsv.gz	0.7703241335973785	cityblock	1.0	60	60
models/preproc/doc2vec_umap-v01.tsv.gz	0.1694588283538694	cityblock	1.0	300	5
models/preproc/doc2vec_umap-v02.tsv.gz	0.1824183683263836	cityblock	1.0	100	5
models/preproc/doc2vec_umap-v03.tsv.gz	0.19013837251659121	cityblock	1.0	60	5
models/preproc/doc2vec_umap-v04.tsv.gz	0.1777310478425276	cityblock	1.0	300	50
models/preproc/doc2vec_umap-v05.tsv.gz	0.1694209480672062	cityblock	1.0	300	100
models/preproc/doc2vec_umap-v06.tsv.gz	0.1678188921000397	cityblock	1.0	300	10
models/preproc/doc2vec_umap-v07.tsv.gz	0.16994263482035507	cityblock	1.0	300	20
models/preproc/lda_id-v01.tsv.gz	0.6334990304052392	cityblock	1.0	300	300
models/preproc/lda_id-v02.tsv.gz	0.5738946565123179	cityblock	1.0	100	100
models/preproc/lda_id-v03.tsv.gz	0.507240736273576	cityblock	1.0	60	60
models/preproc/lda_id-v04.tsv.gz	0.4906134386853784	cityblock	1.0	50	50
models/preproc/lda_id-v05.tsv.gz	0.3181273347775088	cityblock	1.0	5	5
models/preproc/lda_id-v06.tsv.gz	0.3878677441976784	cityblock	1.0	10	10
models/preproc/lda_id-v07.tsv.gz	0.4228516803640861	cityblock	1.0	20	20
models/preproc/lda_umap-v01.tsv.gz	0.2823450516982656	cityblock	1.0	300	5
models/preproc/lda_umap-v02.tsv.gz	0.25723554051574715	cityblock	1.0	100	5
models/preproc/lda_umap-v03.tsv.gz	0.24768536972591765	cityblock	1.0	60	5
models/preproc/lda_umap-v04.tsv.gz	0.24845133955133697	cityblock	1.0	50	5
models/preproc/sbert_id-v01.tsv.gz	0.9390575089425801	cityblock	1.0	512	512
models/preproc/sbert_id-v02.tsv.gz	0.9208073799458236	cityblock	1.0	512	512
models/preproc/sbert_id-v03.tsv.gz	0.935694790276984	cityblock	1.0	384	384
models/preproc/sbert_id-v04.tsv.gz	0.9021685508264695	cityblock	1.0	768	768
models/preproc/sbert_umap-v01.tsv.gz	0.7665131701125742	cityblock	1.0	512	5
models/preproc/sbert_umap-v01_altmindist.tsv.gz	0.7534141598365551	cityblock	1.0	512	5
models/preproc/sbert_umap-v02.tsv.gz	0.7642635375880474	cityblock	1.0	512	5
models/preproc/sbert_umap-v02_altmindist.tsv.gz	0.76592471699394	cityblock	1.0	512	5
models/preproc/sbert_umap-v03.tsv.gz	0.8946542650872991	cityblock	1.0	384	5
models/preproc/sbert_umap-v03_altmindist.tsv.gz	0.8971574286753257	cityblock	1.0	384	5
models/preproc/sbert_umap-v04.tsv.gz	0.7479837136096149	cityblock	1.0	768	5
models/preproc/sbert_umap-v04_altmindist.tsv.gz	0.747150069929001	cityblock	1.0	768	5
models/preproc/tfidf_id-v01.tsv.gz	0.8470475876862553	cityblock	1.0	237	237
models/preproc/tfidf_id-v02.tsv.gz	0.8966646553124846	cityblock	1.0	12705	12705
models/preproc/tfidf_id-v03.tsv.gz	0.9017976378201276	cityblock	1.0	12663	12663
models/preproc/tfidf_umap-v01.tsv.gz	0.3222522276550678	cityblock	1.0	237	5
models/preproc/tfidf_umap-v02.tsv.gz	0.16694252992392777	cityblock	1.0	12705	5
models/preproc/tfidf_umap-v03.tsv.gz	0.1587465531402814	cityblock	1.0	12663	5
models/preproc/tfidf_umap-v04.tsv.gz	0.17308015919750647	cityblock	1.0	12663	50
models/preproc/tfidf_umap-v05.tsv.gz	0.17097970963636122	cityblock	1.0	12663	100
models/preproc/tfidf_umap-v06.tsv.gz	0.16495799426628083	cityblock	1.0	12663	10
models/preproc/tfidf_umap-v07.tsv.gz	0.16774524929708434	cityblock	1.0	12663	20
models/raw/bow_id-v01.tsv.gz	0.853804174881303	cityblock	1.0	275	275
models/raw/bow_id-v02.tsv.gz	0.8772610975910378	cityblock	1.0	47902	47902
models/raw/bow_id-v03.tsv.gz	0.9043051210248739	cityblock	1.0	47779	47779
models/raw/bow_umap-v01.tsv.gz	0.2817482886839542	cityblock	1.0	275	5
models/raw/bow_umap-v02.tsv.gz	0.4876475237347553	cityblock	1.0	47902	5
models/raw/bow_umap-v03.tsv.gz	0.10022477425622875	cityblock	1.0	47779	5
models/raw/doc2vec_id-v01.tsv.gz	0.871058984487687	cityblock	1.0	300	300
models/raw/doc2vec_id-v02.tsv.gz	0.7843437031555859	cityblock	1.0	100	100
models/raw/doc2vec_id-v03.tsv.gz	0.7273104640024052	cityblock	1.0	60	60
models/raw/doc2vec_umap-v01.tsv.gz	0.08337264210358848	cityblock	1.0	300	5
models/raw/doc2vec_umap-v02.tsv.gz	0.10014467910114093	cityblock	1.0	100	5
models/raw/doc2vec_umap-v03.tsv.gz	0.1037693307271363	cityblock	1.0	60	5
models/raw/doc2vec_umap-v04.tsv.gz	0.09693707318590401	cityblock	1.0	300	50
