run	model_name	SVM	KNN	TRE	SGD	average
01	models/preproc/bow_id-v01.tsv.gz	0.776	0.762	0.715	0.790	0.761
01	models/preproc/bow_id-v02.tsv.gz	0.779	0.745	0.736	0.795	0.764
01	models/preproc/bow_id-v03.tsv.gz	0.784	0.693	0.740	0.800	0.754
01	models/preproc/bow_umap-v01.tsv.gz	0.788	0.796	0.742	0.741	0.767
01	models/preproc/bow_umap-v02.tsv.gz	0.813	0.790	0.745	0.792	0.785
01	models/preproc/bow_umap-v03.tsv.gz	0.823	0.814	0.780	0.806	0.806
01	models/preproc/doc2vec_id-v01.tsv.gz	0.817	0.764	0.651	0.827	0.765
01	models/preproc/doc2vec_id-v02.tsv.gz	0.834	0.796	0.673	0.834	0.784
01	models/preproc/doc2vec_id-v03.tsv.gz	0.833	0.807	0.699	0.839	0.795
01	models/preproc/doc2vec_umap-v01.tsv.gz	0.847	0.819	0.784	0.848	0.824
01	models/preproc/doc2vec_umap-v02.tsv.gz	0.846	0.819	0.780	0.813	0.815
01	models/preproc/doc2vec_umap-v03.tsv.gz	0.836	0.819	0.783	0.840	0.819
01	models/preproc/doc2vec_umap-v04.tsv.gz	0.839	0.817	0.773	0.814	0.811
01	models/preproc/doc2vec_umap-v05.tsv.gz	0.838	0.819	0.782	0.809	0.812
01	models/preproc/doc2vec_umap-v06.tsv.gz	0.836	0.820	0.793	0.826	0.819
01	models/preproc/doc2vec_umap-v07.tsv.gz	0.834	0.822	0.779	0.814	0.812
01	models/preproc/lda_id-v01.tsv.gz	0.841	0.814	0.758	0.827	0.810
01	models/preproc/lda_id-v02.tsv.gz	0.830	0.810	0.773	0.830	0.811
01	models/preproc/lda_id-v03.tsv.gz	0.845	0.818	0.770	0.840	0.818
01	models/preproc/lda_id-v04.tsv.gz	0.840	0.819	0.763	0.839	0.815
01	models/preproc/lda_id-v05.tsv.gz	0.839	0.817	0.776	0.839	0.818
01	models/preproc/lda_id-v06.tsv.gz	0.837	0.814	0.784	0.841	0.819
01	models/preproc/lda_id-v07.tsv.gz	0.850	0.818	0.778	0.838	0.821
01	models/preproc/lda_umap-v01.tsv.gz	0.810	0.803	0.765	0.796	0.793
01	models/preproc/lda_umap-v02.tsv.gz	0.807	0.808	0.774	0.791	0.795
