model_name	psq_distance	psq_distance_metric	psq_distance_sample_size	highdim_size	lowdim_size
models/preproc/bow_id-v01.tsv.gz	nan	cosine	1.0	237	237
models/preproc/bow_id-v02.tsv.gz	0.7650753023094571	cosine	1.0	12705	12705
models/preproc/bow_id-v03.tsv.gz	0.7946697643825295	cosine	1.0	12663	12663
models/preproc/bow_umap-v01.tsv.gz	0.14027852441522232	cosine	1.0	237	5
models/preproc/bow_umap-v02.tsv.gz	0.10259143001425736	cosine	1.0	12705	5
models/preproc/bow_umap-v03.tsv.gz	0.06953773263292885	cosine	1.0	12663	5
models/preproc/doc2vec_id-v01.tsv.gz	0.749135451960462	cosine	1.0	300	300
models/preproc/doc2vec_id-v02.tsv.gz	0.65897430575453	cosine	1.0	100	100
models/preproc/doc2vec_id-v03.tsv.gz	0.5987612285872317	cosine	1.0	60	60
models/preproc/doc2vec_umap-v01.tsv.gz	0.051473015183544836	cosine	1.0	300	5
models/preproc/doc2vec_umap-v02.tsv.gz	0.052848526314606445	cosine	1.0	100	5
models/preproc/doc2vec_umap-v03.tsv.gz	0.056305283871584955	cosine	1.0	60	5
models/preproc/doc2vec_umap-v04.tsv.gz	0.051771709051639164	cosine	1.0	300	50
models/preproc/doc2vec_umap-v05.tsv.gz	0.049202720673503585	cosine	1.0	300	100
models/preproc/doc2vec_umap-v06.tsv.gz	0.04929609028292674	cosine	1.0	300	10
models/preproc/doc2vec_umap-v07.tsv.gz	0.05226637534076868	cosine	1.0	300	20
models/preproc/lda_id-v01.tsv.gz	0.44156971697387254	cosine	1.0	300	300
models/preproc/lda_id-v02.tsv.gz	0.39180719492177984	cosine	1.0	100	100
models/preproc/lda_id-v03.tsv.gz	0.3162889371796335	cosine	1.0	60	60
models/preproc/lda_id-v04.tsv.gz	0.2954008825771649	cosine	1.0	50	50
models/preproc/lda_id-v05.tsv.gz	0.13845849373733185	cosine	1.0	5	5
models/preproc/lda_id-v06.tsv.gz	0.1967855010913738	cosine	1.0	10	10
models/preproc/lda_id-v07.tsv.gz	0.22325141906902696	cosine	1.0	20	20
models/preproc/lda_umap-v01.tsv.gz	0.12363749638857349	cosine	1.0	300	5
models/preproc/lda_umap-v02.tsv.gz	0.09295130349852594	cosine	1.0	100	5
models/preproc/lda_umap-v03.tsv.gz	0.0842757197643291	cosine	1.0	60	5
models/preproc/lda_umap-v04.tsv.gz	0.07786345428125382	cosine	1.0	50	5
models/preproc/sbert_id-v01.tsv.gz	0.8863328837684993	cosine	1.0	512	512
models/preproc/sbert_id-v02.tsv.gz	0.85524467783142	cosine	1.0	512	512
models/preproc/sbert_id-v03.tsv.gz	0.8763100951721958	cosine	1.0	384	384
models/preproc/sbert_id-v04.tsv.gz	0.8151928588386176	cosine	1.0	768	768
models/preproc/sbert_umap-v01.tsv.gz	0.6178474893836712	cosine	1.0	512	5
models/preproc/sbert_umap-v01_altmindist.tsv.gz	0.5766366616481556	cosine	1.0	512	5
models/preproc/sbert_umap-v02.tsv.gz	0.6414389228634589	cosine	1.0	512	5
