model_name	psq_distance	psq_distance_metric	psq_distance_sample_size	highdim_size	lowdim_size
models/preproc/bow_id-v01.tsv.gz	0.8561475993483306	euclidean	1.0	237	237
models/preproc/bow_id-v02.tsv.gz	0.8816662074701472	euclidean	1.0	12705	12705
models/preproc/bow_id-v03.tsv.gz	0.8964834102911929	euclidean	1.0	12663	12663
models/preproc/bow_umap-v01.tsv.gz	0.31401692533929537	euclidean	1.0	237	5
models/preproc/bow_umap-v02.tsv.gz	0.2927513000417787	euclidean	1.0	12705	5
models/preproc/bow_umap-v03.tsv.gz	0.1796822237838293	euclidean	1.0	12663	5
models/preproc/doc2vec_id-v01.tsv.gz	0.8669369819187746	euclidean	1.0	300	300
models/preproc/doc2vec_id-v02.tsv.gz	0.8097082704284687	euclidean	1.0	100	100
models/preproc/doc2vec_id-v03.tsv.gz	0.769913994674255	euclidean	1.0	60	60
models/preproc/doc2vec_umap-v01.tsv.gz	0.16491723023475013	euclidean	1.0	300	5
models/preproc/doc2vec_umap-v02.tsv.gz	0.1825443035633828	euclidean	1.0	100	5
models/preproc/doc2vec_umap-v03.tsv.gz	0.18361888797498763	euclidean	1.0	60	5
models/preproc/doc2vec_umap-v04.tsv.gz	0.16631612944109647	euclidean	1.0	300	50
models/preproc/doc2vec_umap-v05.tsv.gz	0.16466903796543172	euclidean	1.0	300	100
models/preproc/doc2vec_umap-v06.tsv.gz	0.16509077354042112	euclidean	1.0	300	10
models/preproc/doc2vec_umap-v07.tsv.gz	0.16695556042185417	euclidean	1.0	300	20
models/preproc/lda_id-v01.tsv.gz	0.6246865802459223	euclidean	1.0	300	300
models/preproc/lda_id-v02.tsv.gz	0.5911077008291872	euclidean	1.0	100	100
models/preproc/lda_id-v03.tsv.gz	0.5230062993276573	euclidean	1.0	60	60
models/preproc/lda_id-v04.tsv.gz	0.5089167643264851	euclidean	1.0	50	50
models/preproc/lda_id-v05.tsv.gz	0.33041348270897	euclidean	1.0	5	5
models/preproc/lda_id-v06.tsv.gz	0.3985650742610844	euclidean	1.0	10	10
models/preproc/lda_id-v07.tsv.gz	0.4369952069298622	euclidean	1.0	20	20
models/preproc/lda_umap-v01.tsv.gz	0.26953848205511677	euclidean	1.0	300	5
models/preproc/lda_umap-v02.tsv.gz	0.2406790880386018	euclidean	1.0	100	5
models/preproc/lda_umap-v03.tsv.gz	0.22752133328050347	euclidean	1.0	60	5
models/preproc/lda_umap-v04.tsv.gz	0.22414190159269592	euclidean	1.0	50	5
models/preproc/sbert_id-v01.tsv.gz	0.9393889617466507	euclidean	1.0	512	512
models/preproc/sbert_id-v02.tsv.gz	0.920702710541306	euclidean	1.0	512	512
models/preproc/sbert_id-v03.tsv.gz	0.9357886134288524	euclidean	1.0	384	384
models/preproc/sbert_id-v04.tsv.gz	0.9020156868053077	euclidean	1.0	768	768
models/preproc/sbert_umap-v01.tsv.gz	0.7506534673490106	euclidean	1.0	512	5
models/preproc/sbert_umap-v01_altmindist.tsv.gz	0.7566796697164694	euclidean	1.0	512	5
models/preproc/sbert_umap-v02.tsv.gz	0.7666753674034339	euclidean	1.0	512	5
models/preproc/sbert_umap-v02_altmindist.tsv.gz	0.767747890275748	euclidean	1.0	512	5
models/preproc/sbert_umap-v03.tsv.gz	0.9202925384242031	euclidean	1.0	384	5
models/preproc/sbert_umap-v03_altmindist.tsv.gz	0.9173752105685332	euclidean	1.0	384	5
models/preproc/sbert_umap-v04.tsv.gz	0.7321579255740334	euclidean	1.0	768	5
models/preproc/sbert_umap-v04_altmindist.tsv.gz	0.7442916394503556	euclidean	1.0	768	5
models/preproc/tfidf_id-v01.tsv.gz	0.8582508471105943	euclidean	1.0	237	237
models/preproc/tfidf_id-v02.tsv.gz	0.9101189656141376	euclidean	1.0	12705	12705
models/preproc/tfidf_id-v03.tsv.gz	0.9153957549996082	euclidean	1.0	12663	12663
models/preproc/tfidf_umap-v01.tsv.gz	0.31946866963244847	euclidean	1.0	237	5
models/preproc/tfidf_umap-v02.tsv.gz	0.1675807687968774	euclidean	1.0	12705	5
models/preproc/tfidf_umap-v03.tsv.gz	0.16365965330076682	euclidean	1.0	12663	5
models/preproc/tfidf_umap-v04.tsv.gz	0.1647568759540518	euclidean	1.0	12663	50
models/preproc/tfidf_umap-v05.tsv.gz	0.16368230330715877	euclidean	1.0	12663	100
models/preproc/tfidf_umap-v06.tsv.gz	0.16568132142565495	euclidean	1.0	12663	10
models/preproc/tfidf_umap-v07.tsv.gz	0.16506969384042305	euclidean	1.0	12663	20
models/raw/bow_id-v01.tsv.gz	0.8608954949938339	euclidean	1.0	275	275
models/raw/bow_id-v02.tsv.gz	0.8388113247130885	euclidean	1.0	47902	47902
models/raw/bow_id-v03.tsv.gz	0.8957043754089019	euclidean	1.0	47779	47779
models/raw/bow_umap-v01.tsv.gz	0.29003640350279625	euclidean	1.0	275	5
models/raw/bow_umap-v02.tsv.gz	0.4940168236958334	euclidean	1.0	47902	5
models/raw/bow_umap-v03.tsv.gz	0.10044908976443072	euclidean	1.0	47779	5
models/raw/doc2vec_id-v01.tsv.gz	0.8708338330946166	euclidean	1.0	300	300
models/raw/doc2vec_id-v02.tsv.gz	0.784423390511156	euclidean	1.0	100	100
models/raw/doc2vec_id-v03.tsv.gz	0.7269040343449165	euclidean	1.0	60	60
models/raw/doc2vec_umap-v01.tsv.gz	0.08417224701044478	euclidean	1.0	300	5
models/raw/doc2vec_umap-v02.tsv.gz	0.10170501159380736	euclidean	1.0	100	5
models/raw/doc2vec_umap-v03.tsv.gz	0.10502115580557858	euclidean	1.0	60	5
models/raw/doc2vec_umap-v04.tsv.gz	0.08500336633883808	euclidean	1.0	300	50
models/raw/doc2vec_umap-v05.tsv.gz	0.08494041075128893	euclidean	1.0	300	100
models/raw/doc2vec_umap-v06.tsv.gz	0.08440499563442534	euclidean	1.0	300	10
models/raw/doc2vec_umap-v07.tsv.gz	0.08814013546870393	euclidean	1.0	300	20
models/raw/lda_id-v01.tsv.gz	0.5094897969434269	euclidean	1.0	300	300
models/raw/lda_id-v02.tsv.gz	0.4754313973151796	euclidean	1.0	100	100
models/raw/lda_id-v03.tsv.gz	0.46415621287038966	euclidean	1.0	60	60
models/raw/lda_id-v04.tsv.gz	0.39128883640911816	euclidean	1.0	50	50
models/raw/lda_id-v05.tsv.gz	0.2781032250558687	euclidean	1.0	5	5
models/raw/lda_id-v06.tsv.gz	0.3552721486472577	euclidean	1.0	10	10
models/raw/lda_id-v07.tsv.gz	0.40643603567163095	euclidean	1.0	20	20
models/raw/lda_umap-v01.tsv.gz	0.19549224701666792	euclidean	1.0	300	5
models/raw/lda_umap-v02.tsv.gz	0.20533389533464977	euclidean	1.0	100	5
models/raw/lda_umap-v03.tsv.gz	0.1616094066134042	euclidean	1.0	60	5
models/raw/lda_umap-v04.tsv.gz	0.21568694604201333	euclidean	1.0	50	5
models/raw/sbert_id-v01.tsv.gz	0.9582253214871187	euclidean	1.0	512	512
models/raw/sbert_id-v02.tsv.gz	0.9496698019502916	euclidean	1.0	512	512
models/raw/sbert_id-v03.tsv.gz	0.9411239933660218	euclidean	1.0	384	384
models/raw/sbert_id-v04.tsv.gz	0.9307873003441423	euclidean	1.0	768	768
models/raw/sbert_umap-v01.tsv.gz	0.8094862354650673	euclidean	1.0	512	5
models/raw/sbert_umap-v01_altmindist.tsv.gz	0.8187335327605826	euclidean	1.0	512	5
models/raw/sbert_umap-v02.tsv.gz	0.8109247833463565	euclidean	1.0	512	5
models/raw/sbert_umap-v02_altmindist.tsv.gz	0.8173716430557123	euclidean	1.0	512	5
models/raw/sbert_umap-v03.tsv.gz	0.8055375204893805	euclidean	1.0	384	5
models/raw/sbert_umap-v03_altmindist.tsv.gz	0.8163739831854754	euclidean	1.0	384	5
models/raw/sbert_umap-v04.tsv.gz	0.7511965600675112	euclidean	1.0	768	5
models/raw/sbert_umap-v04_altmindist.tsv.gz	0.7669942208361282	euclidean	1.0	768	5
models/raw/tfidf_id-v01.tsv.gz	0.8599327996609176	euclidean	1.0	275	275
models/raw/tfidf_id-v02.tsv.gz	0.8822819882731818	euclidean	1.0	47902	47902
