model_name	psq_score	psq_score_zoom	psq_count	clusters	cluster_distribution	genre_purity	genre_purity_by_cluster	base_model	highdim_size	lowdim_size
clusters/preproc/bow_id-v01.aggl.tsv.gz	0.40020329343932026	1.1676642565377433	0.48632776656267207	10	{"9": 0.21575342465753425, "2": 0.18544520547945206, "0": 0.1636986301369863, "4": 0.11592465753424658, "1": 0.1095890410958904, "6": 0.059931506849315065, "7": 0.05821917808219178, "3": 0.05102739726027397, "5": 0.021404109589041095, "8": 0.019006849315068495}	0.7479452054794521	{"0": 0.8002092050209205, "1": 0.94375, "2": 0.765466297322253, "3": 0.9060402684563759, "4": 0.8877400295420975, "5": 0.992, "6": 0.7942857142857143, "7": 0.8794117647058823, "8": 0.8828828828828829, "9": 0.3968253968253968}	models/preproc/bow_id-v01.tsv.gz	237	237
clusters/preproc/bow_id-v01.hdbscan.tsv.gz	0.11710877145776456	1.16627255862464	0.24298036336942558	131	{"-1": 0.3667808219178082, "128": 0.07431506849315068, "42": 0.006335616438356164, "74": 0.0061643835616438354, "92": 0.0059931506849315065, "90": 0.0058219178082191785, "93": 0.0058219178082191785, "119": 0.0056506849315068495, "70": 0.0056506849315068495, "54": 0.0056506849315068495, "84": 0.005479452054794521, "73": 0.005479452054794521, "112": 0.005308219178082192, "113": 0.005308219178082192, "99": 0.005308219178082192, "19": 0.005308219178082192, "32": 0.005308219178082192, "67": 0.005308219178082192, "77": 0.005136986301369863, "29": 0.005136986301369863, "79": 0.005136986301369863, "94": 0.005136986301369863, "62": 0.005136986301369863, "98": 0.005136986301369863, "87": 0.005136986301369863, "39": 0.005136986301369863, "14": 0.005136986301369863, "56": 0.005136986301369863, "27": 0.005136986301369863, "61": 0.005136986301369863, "36": 0.004965753424657535, "111": 0.004965753424657535, "63": 0.004965753424657535, "37": 0.004965753424657535, "89": 0.004965753424657535, "104": 0.004965753424657535, "18": 0.004965753424657535, "115": 0.004965753424657535, "78": 0.004794520547945206, "49": 0.004794520547945206, "81": 0.004794520547945206, "24": 0.004794520547945206, "82": 0.004794520547945206, "52": 0.004794520547945206, "86": 0.004794520547945206, "69": 0.004794520547945206, "31": 0.004794520547945206, "91": 0.004794520547945206, "53": 0.004794520547945206, "109": 0.004794520547945206, "57": 0.004794520547945206, "46": 0.004794520547945206, "48": 0.004623287671232877, "85": 0.004623287671232877, "47": 0.004623287671232877, "38": 0.004623287671232877, "100": 0.004623287671232877, "116": 0.004623287671232877, "66": 0.004623287671232877, "59": 0.004452054794520548, "108": 0.004452054794520548, "76": 0.004452054794520548, "45": 0.004452054794520548, "30": 0.004452054794520548, "95": 0.004452054794520548, "101": 0.004452054794520548, "117": 0.004452054794520548, "35": 0.004452054794520548, "64": 0.004452054794520548, "51": 0.004452054794520548, "9": 0.004452054794520548, "40": 0.004452054794520548, "11": 0.004452054794520548, "25": 0.004452054794520548, "83": 0.004280821917808219, "16": 0.004280821917808219, "17": 0.004280821917808219, "97": 0.004280821917808219, "44": 0.004280821917808219, "26": 0.004280821917808219, "106": 0.004280821917808219, "103": 0.004280821917808219, "22": 0.00410958904109589, "107": 0.00410958904109589, "120": 0.00410958904109589, "72": 0.003938356164383562, "8": 0.003938356164383562, "68": 0.003938356164383562, "88": 0.003938356164383562, "28": 0.003938356164383562, "55": 0.003938356164383562, "71": 0.003938356164383562, "43": 0.003938356164383562, "65": 0.003767123287671233, "12": 0.003767123287671233, "60": 0.003767123287671233, "105": 0.003767123287671233, "121": 0.003767123287671233, "125": 0.003767123287671233, "33": 0.003767123287671233, "13": 0.003595890410958904, "102": 0.003595890410958904, "123": 0.003595890410958904, "118": 0.003595890410958904, "75": 0.003595890410958904, "3": 0.003424657534246575, "6": 0.003424657534246575, "58": 0.003424657534246575, "127": 0.003424657534246575, "124": 0.003424657534246575, "126": 0.003424657534246575, "20": 0.0032534246575342467, "4": 0.0032534246575342467, "10": 0.0032534246575342467, "23": 0.0032534246575342467, "129": 0.0032534246575342467, "41": 0.0030821917808219177, "5": 0.0029109589041095892, "80": 0.0029109589041095892, "21": 0.0029109589041095892, "122": 0.0029109589041095892, "110": 0.0029109589041095892, "0": 0.0027397260273972603, "1": 0.0027397260273972603, "2": 0.0027397260273972603, "34": 0.0027397260273972603, "114": 0.0027397260273972603, "50": 0.0027397260273972603, "15": 0.0027397260273972603, "96": 0.0027397260273972603, "7": 0.0025684931506849314}	0.6135273972602739	{"-1": 0.5588235294117647, "0": 0.875, "1": 0.625, "10": 0.6842105263157895, "100": 0.6296296296296297, "101": 0.5769230769230769, "102": 0.7142857142857143, "103": 0.68, "104": 0.7586206896551724, "105": 0.7272727272727273, "106": 0.6, "107": 0.7083333333333334, "108": 0.8076923076923077, "109": 0.8214285714285714, "11": 0.6538461538461539, "110": 0.6470588235294118, "111": 0.7241379310344828, "112": 0.8387096774193549, "113": 0.9354838709677419, "114": 0.6875, "115": 0.7586206896551724, "116": 0.8518518518518519, "117": 0.8846153846153846, "118": 0.8095238095238095, "119": 0.9090909090909091, "12": 0.7272727272727273, "120": 0.8333333333333334, "121": 0.9545454545454546, "122": 0.8823529411764706, "123": 0.9047619047619048, "124": 0.9, "125": 0.9090909090909091, "126": 0.9, "127": 0.9, "128": 0.6658986175115207, "129": 0.8947368421052632, "13": 0.7142857142857143, "14": 0.9, "15": 0.875, "16": 0.68, "17": 0.64, "18": 0.7931034482758621, "19": 0.6774193548387096, "2": 0.6875, "20": 0.7368421052631579, "21": 0.7058823529411765, "22": 0.625, "23": 0.6842105263157895, "24": 0.8571428571428571, "25": 0.6538461538461539, "26": 0.64, "27": 0.8, "28": 0.782608695652174, "29": 0.7, "3": 0.65, "30": 0.6153846153846154, "31": 0.7142857142857143, "32": 0.5161290322580645, "33": 0.6818181818181818, "34": 0.6875, "35": 0.7692307692307693, "36": 0.7931034482758621, "37": 0.6551724137931034, "38": 0.6296296296296297, "39": 0.7666666666666667, "4": 0.7368421052631579, "40": 0.6153846153846154, "41": 0.6666666666666666, "42": 0.5675675675675675, "43": 0.6521739130434783, "44": 0.52, "45": 0.7307692307692307, "46": 0.7142857142857143, "47": 0.6296296296296297, "48": 0.6296296296296297, "49": 0.5357142857142857, "5": 0.7647058823529411, "50": 0.625, "51": 0.4230769230769231, "52": 0.5357142857142857, "53": 0.39285714285714285, "54": 0.5454545454545454, "55": 0.6086956521739131, "56": 0.5, "57": 0.5, "58": 0.5, "59": 0.6923076923076923, "6": 0.75, "60": 0.5454545454545454, "61": 0.5, "62": 0.36666666666666664, "63": 0.41379310344827586, "64": 0.46153846153846156, "65": 0.5454545454545454, "66": 0.5555555555555556, "67": 0.5806451612903226, "68": 0.43478260869565216, "69": 0.35714285714285715, "7": 0.8, "70": 0.3939393939393939, "71": 0.5217391304347826, "72": 0.6521739130434783, "73": 0.4375, "74": 0.4166666666666667, "75": 0.38095238095238093, "76": 0.6153846153846154, "77": 0.5, "78": 0.6071428571428571, "79": 0.43333333333333335, "8": 0.8260869565217391, "80": 0.6470588235294118, "81": 0.4642857142857143, "82": 0.4642857142857143, "83": 0.6, "84": 0.34375, "85": 0.48148148148148145, "86": 0.5357142857142857, "87": 0.4666666666666667, "88": 0.4782608695652174, "89": 0.5517241379310345, "9": 0.8076923076923077, "90": 0.5882352941176471, "91": 0.5357142857142857, "92": 0.5142857142857142, "93": 0.6764705882352942, "94": 0.4666666666666667, "95": 0.6538461538461539, "96": 0.5625, "97": 0.68, "98": 0.5333333333333333, "99": 0.5806451612903226}	models/preproc/bow_id-v01.tsv.gz	237	237
clusters/preproc/bow_id-v01.kmeans.tsv.gz	0.43081168389213764	1.1568471221453718	0.5079831161681042	10	{"8": 0.213013698630137, "1": 0.18715753424657533, "9": 0.12722602739726027, "2": 0.10804794520547945, "7": 0.09828767123287671, "6": 0.09811643835616439, "0": 0.060616438356164384, "5": 0.05393835616438356, "3": 0.02910958904109589, "4": 0.024486301369863014}	0.7808219178082192	{"0": 0.8587570621468926, "1": 0.44830741079597436, "2": 0.9730586370839936, "3": 0.9235294117647059, "4": 0.993006993006993, "5": 0.6507936507936508, "6": 0.8132635253054101, "7": 0.8641114982578397, "8": 0.8046623794212219, "9": 0.9219380888290714}	models/preproc/bow_id-v01.tsv.gz	237	237
clusters/preproc/bow_id-v02.aggl.tsv.gz	0.6050539577862963	1.1613928677941021	0.6599376032299504	10	{"1": 0.25582191780821917, "6": 0.12893835616438357, "0": 0.11335616438356165, "3": 0.10976027397260274, "2": 0.10565068493150685, "7": 0.10547945205479452, "8": 0.06660958904109589, "4": 0.05804794520547945, "5": 0.040753424657534246, "9": 0.015582191780821918}	0.7811643835616439	{"0": 0.9003021148036254, "1": 0.5167336010709505, "2": 0.6839546191247974, "3": 0.8361934477379095, "4": 0.9970501474926253, "5": 0.5672268907563025, "6": 0.9800796812749004, "7": 0.8928571428571429, "8": 0.9948586118251928, "9": 0.967032967032967}	models/preproc/bow_id-v02.tsv.gz	12705	12705
clusters/preproc/bow_id-v02.hdbscan.tsv.gz	0.08275270930744781	1.3611330302243236	0.32611488346485595	107	{"-1": 0.4970890410958904, "104": 0.1297945205479452, "68": 0.005308219178082192, "43": 0.005136986301369863, "18": 0.005136986301369863, "56": 0.004965753424657535, "52": 0.004965753424657535, "40": 0.004794520547945206, "51": 0.004623287671232877, "48": 0.004452054794520548, "63": 0.004452054794520548, "60": 0.004452054794520548, "50": 0.004452054794520548, "59": 0.004452054794520548, "84": 0.004452054794520548, "64": 0.004452054794520548, "46": 0.004452054794520548, "58": 0.004452054794520548, "38": 0.004452054794520548, "30": 0.004280821917808219, "41": 0.004280821917808219, "55": 0.004280821917808219, "35": 0.004280821917808219, "42": 0.00410958904109589, "5": 0.00410958904109589, "72": 0.00410958904109589, "20": 0.00410958904109589, "66": 0.003938356164383562, "12": 0.003938356164383562, "45": 0.003938356164383562, "75": 0.003938356164383562, "70": 0.003938356164383562, "76": 0.003938356164383562, "102": 0.003938356164383562, "71": 0.003767123287671233, "67": 0.003767123287671233, "49": 0.003767123287671233, "16": 0.003767123287671233, "53": 0.003767123287671233, "28": 0.003767123287671233, "31": 0.003767123287671233, "14": 0.003595890410958904, "10": 0.003595890410958904, "77": 0.003595890410958904, "74": 0.003595890410958904, "94": 0.003595890410958904, "36": 0.003595890410958904, "65": 0.003595890410958904, "93": 0.003595890410958904, "85": 0.003595890410958904, "37": 0.003595890410958904, "83": 0.003595890410958904, "82": 0.003595890410958904, "92": 0.003424657534246575, "25": 0.003424657534246575, "61": 0.003424657534246575, "73": 0.003424657534246575, "47": 0.003424657534246575, "91": 0.003424657534246575, "62": 0.003424657534246575, "9": 0.003424657534246575, "39": 0.003424657534246575, "34": 0.0032534246575342467, "19": 0.0032534246575342467, "29": 0.0032534246575342467, "88": 0.0032534246575342467, "81": 0.0032534246575342467, "22": 0.0032534246575342467, "69": 0.0032534246575342467, "90": 0.0032534246575342467, "8": 0.0032534246575342467, "87": 0.0032534246575342467, "15": 0.0032534246575342467, "27": 0.0032534246575342467, "23": 0.0032534246575342467, "11": 0.0032534246575342467, "79": 0.0032534246575342467, "101": 0.0030821917808219177, "24": 0.0030821917808219177, "33": 0.0030821917808219177, "103": 0.0029109589041095892, "105": 0.0029109589041095892, "6": 0.0029109589041095892, "4": 0.0029109589041095892, "78": 0.0029109589041095892, "95": 0.0029109589041095892, "100": 0.0029109589041095892, "17": 0.0029109589041095892, "99": 0.0029109589041095892, "97": 0.0029109589041095892, "21": 0.0029109589041095892, "0": 0.0027397260273972603, "2": 0.0027397260273972603, "26": 0.0027397260273972603, "7": 0.0027397260273972603, "57": 0.0027397260273972603, "96": 0.0027397260273972603, "13": 0.0025684931506849314, "1": 0.0025684931506849314, "3": 0.0025684931506849314, "44": 0.0025684931506849314, "80": 0.0025684931506849314, "54": 0.0025684931506849314, "32": 0.0025684931506849314, "86": 0.0025684931506849314, "98": 0.0025684931506849314, "89": 0.0025684931506849314}	0.511986301369863	{"-1": 0.49913882190837067, "0": 0.6875, "1": 0.5333333333333333, "10": 0.5238095238095238, "100": 0.5294117647058824, "101": 0.5, "102": 0.5217391304347826, "103": 0.5294117647058824, "104": 0.5408970976253298, "105": 0.47058823529411764, "11": 0.47368421052631576, "12": 0.6086956521739131, "13": 0.4666666666666667, "14": 0.5238095238095238, "15": 0.5263157894736842, "16": 0.5454545454545454, "17": 0.7058823529411765, "18": 0.5333333333333333, "19": 0.6842105263157895, "2": 0.4375, "20": 0.4583333333333333, "21": 0.5294117647058824, "22": 0.5789473684210527, "23": 0.5789473684210527, "24": 0.5555555555555556, "25": 0.75, "26": 0.4375, "27": 0.631578947368421, "28": 0.5454545454545454, "29": 0.42105263157894735, "3": 0.5333333333333333, "30": 0.52, "31": 0.4090909090909091, "32": 0.4666666666666667, "33": 0.4444444444444444, "34": 0.47368421052631576, "35": 0.6, "36": 0.47619047619047616, "37": 0.42857142857142855, "38": 0.5769230769230769, "39": 0.45, "4": 0.6470588235294118, "40": 0.5, "41": 0.52, "42": 0.5833333333333334, "43": 0.4666666666666667, "44": 0.4, "45": 0.5217391304347826, "46": 0.5, "47": 0.7, "48": 0.46153846153846156, "49": 0.45454545454545453, "5": 0.5833333333333334, "50": 0.5769230769230769, "51": 0.5555555555555556, "52": 0.41379310344827586, "53": 0.4090909090909091, "54": 0.5333333333333333, "55": 0.36, "56": 0.5862068965517241, "57": 0.5625, "58": 0.4230769230769231, "59": 0.5, "6": 0.6470588235294118, "60": 0.5, "61": 0.6, "62": 0.45, "63": 0.5769230769230769, "64": 0.38461538461538464, "65": 0.47619047619047616, "66": 0.5652173913043478, "67": 0.45454545454545453, "68": 0.6129032258064516, "69": 0.5263157894736842, "7": 0.625, "70": 0.6086956521739131, "71": 0.45454545454545453, "72": 0.5, "73": 0.45, "74": 0.6190476190476191, "75": 0.5652173913043478, "76": 0.4782608695652174, "77": 0.47619047619047616, "78": 0.5294117647058824, "79": 0.5263157894736842, "8": 0.47368421052631576, "80": 0.6, "81": 0.47368421052631576, "82": 0.42857142857142855, "83": 0.42857142857142855, "84": 0.4230769230769231, "85": 0.5238095238095238, "86": 0.5333333333333333, "87": 0.42105263157894735, "88": 0.5263157894736842, "89": 0.4666666666666667, "9": 0.45, "90": 0.5263157894736842, "91": 0.5, "92": 0.7, "93": 0.47619047619047616, "94": 0.42857142857142855, "95": 0.47058823529411764, "96": 0.625, "97": 0.7058823529411765, "98": 0.4666666666666667, "99": 0.47058823529411764}	models/preproc/bow_id-v02.tsv.gz	12705	12705
clusters/preproc/bow_id-v02.kmeans.tsv.gz	0.4208090667120574	1.1231357279309606	0.4843090475316572	10	{"9": 0.1429794520547945, "2": 0.14092465753424657, "4": 0.12773972602739725, "8": 0.12277397260273973, "6": 0.10171232876712329, "0": 0.09041095890410959, "5": 0.07893835616438356, "7": 0.07482876712328768, "1": 0.07448630136986302, "3": 0.045205479452054796}	0.7784246575342466	{"0": 0.990530303030303, "1": 0.9310344827586207, "2": 0.44471445929526127, "3": 0.4772727272727273, "4": 0.9571045576407506, "5": 0.8459869848156182, "6": 0.7037037037037037, "7": 0.551487414187643, "8": 0.8507670850767085, "9": 0.9017964071856287}	models/preproc/bow_id-v02.tsv.gz	12705	12705
clusters/preproc/bow_id-v03.aggl.tsv.gz	0.6370775296161139	1.1970729667807478	0.6968251055239494	10	{"0": 0.24195205479452056, "1": 0.22517123287671234, "2": 0.17397260273972603, "3": 0.1113013698630137, "4": 0.07636986301369864, "7": 0.054452054794520546, "9": 0.04041095890410959, "5": 0.039897260273972605, "8": 0.022945205479452054, "6": 0.013527397260273973}	0.7476027397260274	{"0": 0.8952583156404812, "1": 0.34220532319391633, "2": 0.7431102362204725, "3": 0.9707692307692307, "4": 0.9260089686098655, "5": 0.5021459227467812, "6": 0.9620253164556962, "7": 0.9937106918238994, "8": 0.9701492537313433, "9": 0.902542372881356}	models/preproc/bow_id-v03.tsv.gz	12663	12663
clusters/preproc/bow_id-v03.hdbscan.tsv.gz	0.06962579394002692	1.417279577528877	0.343549275096348	110	{"-1": 0.5347602739726027, "107": 0.08407534246575342, "66": 0.004965753424657535, "58": 0.004965753424657535, "46": 0.004794520547945206, "62": 0.004794520547945206, "54": 0.004794520547945206, "74": 0.004623287671232877, "43": 0.004623287671232877, "87": 0.004452054794520548, "59": 0.004452054794520548, "68": 0.004280821917808219, "82": 0.004280821917808219, "72": 0.004280821917808219, "48": 0.004280821917808219, "78": 0.004280821917808219, "25": 0.004280821917808219, "52": 0.004280821917808219, "64": 0.00410958904109589, "99": 0.00410958904109589, "57": 0.00410958904109589, "31": 0.00410958904109589, "77": 0.00410958904109589, "30": 0.00410958904109589, "60": 0.003938356164383562, "96": 0.003938356164383562, "34": 0.003938356164383562, "94": 0.003938356164383562, "100": 0.003938356164383562, "91": 0.003938356164383562, "89": 0.003938356164383562, "79": 0.003938356164383562, "69": 0.003938356164383562, "51": 0.003938356164383562, "39": 0.003938356164383562, "61": 0.003938356164383562, "0": 0.003767123287671233, "23": 0.003767123287671233, "90": 0.003767123287671233, "97": 0.003767123287671233, "92": 0.003767123287671233, "53": 0.003767123287671233, "65": 0.003767123287671233, "76": 0.003767123287671233, "21": 0.003767123287671233, "50": 0.003595890410958904, "33": 0.003595890410958904, "49": 0.003595890410958904, "93": 0.003595890410958904, "45": 0.003595890410958904, "85": 0.003595890410958904, "88": 0.003595890410958904, "38": 0.003595890410958904, "71": 0.003595890410958904, "15": 0.003595890410958904, "44": 0.003595890410958904, "84": 0.003595890410958904, "98": 0.003424657534246575, "32": 0.003424657534246575, "10": 0.003424657534246575, "95": 0.003424657534246575, "80": 0.003424657534246575, "73": 0.003424657534246575, "36": 0.003424657534246575, "81": 0.003424657534246575, "86": 0.003424657534246575, "28": 0.003424657534246575, "83": 0.003424657534246575, "56": 0.003424657534246575, "26": 0.0032534246575342467, "2": 0.0032534246575342467, "55": 0.0032534246575342467, "105": 0.0032534246575342467, "67": 0.0032534246575342467, "22": 0.0032534246575342467, "102": 0.0032534246575342467, "40": 0.0032534246575342467, "13": 0.0030821917808219177, "6": 0.0030821917808219177, "29": 0.0030821917808219177, "20": 0.0030821917808219177, "16": 0.0029109589041095892, "19": 0.0029109589041095892, "11": 0.0029109589041095892, "8": 0.0029109589041095892, "9": 0.0029109589041095892, "106": 0.0029109589041095892, "103": 0.0029109589041095892, "101": 0.0029109589041095892, "37": 0.0029109589041095892, "12": 0.0029109589041095892, "47": 0.0029109589041095892, "18": 0.0029109589041095892, "14": 0.0029109589041095892, "35": 0.0027397260273972603, "104": 0.0027397260273972603, "5": 0.0027397260273972603, "24": 0.0027397260273972603, "41": 0.0027397260273972603, "1": 0.0027397260273972603, "75": 0.0027397260273972603, "70": 0.0027397260273972603, "7": 0.0025684931506849314, "4": 0.0025684931506849314, "108": 0.0025684931506849314, "27": 0.0025684931506849314, "3": 0.0025684931506849314, "17": 0.0025684931506849314, "63": 0.0025684931506849314, "42": 0.0025684931506849314}	0.522945205479452	{"-1": 0.49919948767211014, "0": 0.7727272727272727, "1": 0.6875, "10": 0.8, "100": 0.6521739130434783, "101": 0.7058823529411765, "102": 0.7368421052631579, "103": 0.5294117647058824, "104": 0.6875, "105": 0.8421052631578947, "106": 0.47058823529411764, "107": 0.5845213849287169, "108": 0.7333333333333333, "11": 0.6470588235294118, "12": 0.7058823529411765, "13": 0.8333333333333334, "14": 0.6470588235294118, "15": 0.6190476190476191, "16": 0.5882352941176471, "17": 0.8, "18": 0.6470588235294118, "19": 0.7647058823529411, "2": 0.7368421052631579, "20": 0.7777777777777778, "21": 0.5, "22": 0.42105263157894735, "23": 0.7272727272727273, "24": 0.4375, "25": 0.64, "26": 0.6842105263157895, "27": 0.7333333333333333, "28": 0.5, "29": 0.5555555555555556, "3": 0.6666666666666666, "30": 0.5416666666666666, "31": 0.5, "32": 0.45, "33": 0.6190476190476191, "34": 0.7391304347826086, "35": 0.625, "36": 0.55, "37": 0.5882352941176471, "38": 0.47619047619047616, "39": 0.4782608695652174, "4": 0.6666666666666666, "40": 0.42105263157894735, "41": 0.6875, "42": 0.4, "43": 0.48148148148148145, "44": 0.42857142857142855, "45": 0.5238095238095238, "46": 0.4642857142857143, "47": 0.47058823529411764, "48": 0.4, "49": 0.47619047619047616, "5": 0.4375, "50": 0.47619047619047616, "51": 0.43478260869565216, "52": 0.44, "53": 0.5, "54": 0.5714285714285714, "55": 0.5789473684210527, "56": 0.4, "57": 0.3333333333333333, "58": 0.3448275862068966, "59": 0.5, "6": 0.6111111111111112, "60": 0.4782608695652174, "61": 0.43478260869565216, "62": 0.5357142857142857, "63": 0.4, "64": 0.4166666666666667, "65": 0.5454545454545454, "66": 0.5172413793103449, "67": 0.5263157894736842, "68": 0.4, "69": 0.4782608695652174, "7": 0.6, "70": 0.4375, "71": 0.5714285714285714, "72": 0.44, "73": 0.55, "74": 0.4074074074074074, "75": 0.5, "76": 0.4090909090909091, "77": 0.375, "78": 0.68, "79": 0.391304347826087, "8": 0.5882352941176471, "80": 0.45, "81": 0.35, "82": 0.4, "83": 0.45, "84": 0.38095238095238093, "85": 0.6190476190476191, "86": 0.4, "87": 0.46153846153846156, "88": 0.47619047619047616, "89": 0.6086956521739131, "9": 0.8235294117647058, "90": 0.45454545454545453, "91": 0.5652173913043478, "92": 0.5, "93": 0.5714285714285714, "94": 0.5652173913043478, "95": 0.6, "96": 0.6521739130434783, "97": 0.5909090909090909, "98": 0.45, "99": 0.5833333333333334}	models/preproc/bow_id-v03.tsv.gz	12663	12663
clusters/preproc/bow_id-v03.kmeans.tsv.gz	0.4971093155099883	1.1484708046043894	0.5621214901816847	10	{"6": 0.20445205479452055, "1": 0.18784246575342467, "3": 0.12517123287671234, "4": 0.09452054794520548, "7": 0.09452054794520548, "0": 0.07773972602739726, "5": 0.0773972602739726, "9": 0.05821917808219178, "2": 0.04332191780821918, "8": 0.036815068493150686}	0.8003424657534246	{"0": 0.8083700440528634, "1": 0.4676390154968095, "2": 0.9644268774703557, "3": 0.9124487004103967, "4": 0.8985507246376812, "5": 0.9823008849557522, "6": 0.8182579564489112, "7": 0.9456521739130435, "8": 0.6790697674418604, "9": 0.8764705882352941}	models/preproc/bow_id-v03.tsv.gz	12663	12663
clusters/preproc/bow_umap-v01.aggl.tsv.gz	0.4586276012262189	1.1276522174764272	0.519911910442283	10	{"0": 0.16352739726027396, "1": 0.1386986301369863, "6": 0.1344178082191781, "2": 0.12996575342465752, "9": 0.08904109589041095, "5": 0.0761986301369863, "3": 0.07534246575342465, "4": 0.07363013698630137, "8": 0.07243150684931507, "7": 0.046746575342465756}	0.7996575342465754	{"0": 0.9518324607329843, "1": 0.47901234567901235, "2": 0.8511198945981555, "3": 0.8227272727272728, "4": 0.786046511627907, "5": 0.5483146067415731, "6": 0.8547770700636943, "7": 0.9047619047619048, "8": 0.8628841607565012, "9": 0.9615384615384616}	models/preproc/bow_umap-v01.tsv.gz	237	5
