model_name	SVM	KNN	TRE	SGD	average
MFW_100	0.833	0.857	0.785	0.823	0.8245
MFW_1000	0.890	0.867	0.808	0.875	0.86
MFW_1500	0.885	0.854	0.798	0.841	0.8445
MFW_200	0.880	0.867	0.780	0.867	0.8485
MFW_2000	0.898	0.852	0.772	0.805	0.83175
MFW_2500	0.903	0.849	0.775	0.767	0.8235
MFW_3000	0.903	0.859	0.780	0.729	0.81775
MFW_3500	0.905	0.857	0.775	0.670	0.80175
MFW_4000	0.905	0.851	0.785	0.629	0.7925
MFW_4500	0.903	0.854	0.785	0.568	0.7775
MFW_500	0.875	0.870	0.811	0.864	0.855
MFW_5000	0.898	0.852	0.798	0.534	0.7705
models/schöch/050tp-6000it-0050in.tsv.gz	0.834	0.803	0.79	0.798	0.80625
models/schöch/050tp-6000it-0100in.tsv.gz	0.842	0.824	0.788	0.821	0.81875
models/schöch/050tp-6000it-0300in.tsv.gz	0.857	0.829	0.801	0.846	0.83325
models/schöch/050tp-6000it-0500in.tsv.gz	0.852	0.816	0.798	0.834	0.825
models/schöch/050tp-6000it-1000in.tsv.gz	0.841	0.795	0.79	0.834	0.815
models/schöch/050tp-6000it-2000in.tsv.gz	0.852	0.801	0.791	0.839	0.82075
models/schöch/050tp-6000it-3000in.tsv.gz	0.839	0.809	0.805	0.799	0.813
models/schöch/050tp-6000it-7000in.tsv.gz	0.841	0.811	0.749	0.865	0.8165
models/schöch/060tp-6000it-0050in.tsv.gz	0.855	0.796	0.834	0.839	0.831
models/schöch/060tp-6000it-0100in.tsv.gz	0.854	0.775	0.849	0.824	0.8255
models/schöch/060tp-6000it-0300in.tsv.gz	0.87	0.818	0.785	0.837	0.8275
models/schöch/060tp-6000it-0500in.tsv.gz	0.844	0.782	0.775	0.842	0.81075
models/schöch/060tp-6000it-1000in.tsv.gz	0.854	0.826	0.811	0.849	0.835
models/schöch/060tp-6000it-2000in.tsv.gz	0.834	0.793	0.739	0.816	0.7955
models/schöch/060tp-6000it-3000in.tsv.gz	0.862	0.793	0.801	0.814	0.8175
models/schöch/060tp-6000it-7000in.tsv.gz	0.819	0.816	0.76	0.798	0.79825
models/schöch/070tp-6000it-0050in.tsv.gz	0.844	0.803	0.801	0.847	0.82375
models/schöch/070tp-6000it-0100in.tsv.gz	0.854	0.811	0.786	0.844	0.82375
models/schöch/070tp-6000it-0300in.tsv.gz	0.854	0.788	0.799	0.842	0.82075
models/schöch/070tp-6000it-0500in.tsv.gz	0.854	0.798	0.783	0.833	0.817
models/schöch/070tp-6000it-1000in.tsv.gz	0.867	0.829	0.788	0.829	0.82825
models/schöch/070tp-6000it-2000in.tsv.gz	0.831	0.803	0.77	0.816	0.805
models/schöch/070tp-6000it-3000in.tsv.gz	0.831	0.808	0.791	0.805	0.80875
models/schöch/070tp-6000it-7000in.tsv.gz	0.819	0.791	0.811	0.803	0.806
models/schöch/080tp-6000it-0050in.tsv.gz	0.841	0.788	0.803	0.826	0.8145
models/schöch/080tp-6000it-0100in.tsv.gz	0.847	0.8	0.785	0.839	0.81775
models/schöch/080tp-6000it-0300in.tsv.gz	0.821	0.79	0.773	0.821	0.80125
models/schöch/080tp-6000it-0500in.tsv.gz	0.852	0.796	0.826	0.811	0.82125
models/schöch/080tp-6000it-1000in.tsv.gz	0.857	0.79	0.8	0.826	0.81825
models/schöch/080tp-6000it-2000in.tsv.gz	0.824	0.79	0.747	0.793	0.7885
models/schöch/080tp-6000it-3000in.tsv.gz	0.824	0.834	0.788	0.811	0.81425
models/schöch/080tp-6000it-7000in.tsv.gz	0.814	0.806	0.786	0.829	0.80875
models/schöch/090tp-6000it-0050in.tsv.gz	0.819	0.696	0.783	0.798	0.774
models/schöch/090tp-6000it-0100in.tsv.gz	0.834	0.767	0.758	0.826	0.79625
models/schöch/090tp-6000it-0300in.tsv.gz	0.829	0.782	0.785	0.821	0.80425
models/schöch/090tp-6000it-0500in.tsv.gz	0.816	0.808	0.772	0.826	0.8055
models/schöch/090tp-6000it-1000in.tsv.gz	0.846	0.79	0.782	0.783	0.80025
models/schöch/090tp-6000it-2000in.tsv.gz	0.836	0.818	0.755	0.783	0.798
models/schöch/090tp-6000it-3000in.tsv.gz	0.818	0.767	0.757	0.719	0.76525
models/schöch/090tp-6000it-7000in.tsv.gz	0.801	0.805	0.778	0.788	0.793
models/schöch/100tp-6000it-0050in.tsv.gz	0.811	0.805	0.793	0.831	0.81
models/schöch/100tp-6000it-0100in.tsv.gz	0.798	0.796	0.785	0.826	0.80125
models/schöch/100tp-6000it-0300in.tsv.gz	0.816	0.79	0.783	0.824	0.80325
models/schöch/100tp-6000it-0500in.tsv.gz	0.819	0.786	0.778	0.793	0.794
models/schöch/100tp-6000it-1000in.tsv.gz	0.805	0.772	0.73	0.747	0.7635
models/schöch/100tp-6000it-2000in.tsv.gz	0.824	0.783	0.752	0.76	0.77975
models/schöch/100tp-6000it-3000in.tsv.gz	0.816	0.798	0.755	0.735	0.776
models/schöch/100tp-6000it-7000in.tsv.gz	0.736	0.811	0.721	0.773	0.76025
